,Date,PAR,SST,site,Year,Month
180,2007-10-01,49,29,B,2007,10
181,2007-11-01,45,27,B,2007,11
182,2007-12-01,52,29,B,2007,12
183,2008-01-01,46,30,B,2008,1
184,2008-02-01,50,26,B,2008,2
185,2008-03-01,53,29,B,2008,3
186,2008-04-01,55,26,B,2008,4
187,2008-05-01,52,25,B,2008,5
188,2008-06-01,47,26,B,2008,6
189,2008-07-01,47,25,B,2008,7
190,2008-08-01,54,27,B,2008,8
191,2008-09-01,46,28,B,2008,9
192,2008-10-01,50,30,B,2008,10
193,2008-11-01,47,30,B,2008,11
194,2008-12-01,48,28,B,2008,12
195,2009-01-01,49,29,B,2009,1
196,2009-02-01,47,27,B,2009,2
197,2009-03-01,49,28,B,2009,3
198,2009-04-01,46,26,B,2009,4
199,2009-05-01,49,30,B,2009,5
200,2009-06-01,51,30,B,2009,6
201,2009-07-01,46,30,B,2009,7
202,2009-08-01,52,29,B,2009,8
203,2009-09-01,54,25,B,2009,9
204,2009-10-01,51,27,B,2009,10
205,2009-11-01,51,26,B,2009,11
206,2009-12-01,54,25,B,2009,12
207,2010-01-01,49,30,B,2010,1
208,2010-02-01,53,25,B,2010,2
209,2010-03-01,48,27,B,2010,3
210,2010-04-01,52,28,B,2010,4
211,2010-05-01,55,29,B,2010,5
212,2010-06-01,54,29,B,2010,6
213,2010-07-01,52,28,B,2010,7
214,2010-08-01,51,27,B,2010,8
215,2010-09-01,54,29,B,2010,9
216,2010-10-01,52,30,B,2010,10
217,2010-11-01,47,28,B,2010,11
218,2010-12-01,46,27,B,2010,12
219,2011-01-01,51,29,B,2011,1
220,2011-02-01,48,27,B,2011,2
221,2011-03-01,47,30,B,2011,3
222,2011-04-01,47,29,B,2011,4
223,2011-05-01,51,30,B,2011,5
224,2011-06-01,55,28,B,2011,6
225,2011-07-01,54,25,B,2011,7
226,2011-08-01,48,29,B,2011,8
227,2011-09-01,49,25,B,2011,9
228,2011-10-01,50,28,B,2011,10
229,2011-11-01,46,29,B,2011,11
230,2011-12-01,55,29,B,2011,12
231,2012-01-01,51,28,B,2012,1
232,2012-02-01,50,26,B,2012,2
233,2012-03-01,53,30,B,2012,3
234,2012-04-01,49,26,B,2012,4
235,2012-05-01,51,28,B,2012,5
236,2012-06-01,53,30,B,2012,6
237,2012-07-01,54,28,B,2012,7
238,2012-08-01,50,29,B,2012,8
239,2012-09-01,51,27,B,2012,9
240,2012-10-01,50,25,B,2012,10
241,2012-11-01,51,28,B,2012,11
242,2012-12-01,49,27,B,2012,12
243,2013-01-01,50,26,B,2013,1
244,2013-02-01,45,26,B,2013,2
245,2013-03-01,46,28,B,2013,3
246,2013-04-01,52,30,B,2013,4
247,2013-05-01,48,25,B,2013,5
248,2013-06-01,48,25,B,2013,6
249,2013-07-01,52,27,B,2013,7
250,2013-08-01,50,27,B,2013,8
251,2013-09-01,54,28,B,2013,9
252,2013-10-01,55,27,B,2013,10
253,2013-11-01,46,27,B,2013,11
254,2013-12-01,49,28,B,2013,12
255,2014-01-01,47,27,B,2014,1
256,2014-02-01,47,26,B,2014,2
257,2014-03-01,46,30,B,2014,3
258,2014-04-01,49,25,B,2014,4
259,2014-05-01,51,27,B,2014,5
260,2014-06-01,54,29,B,2014,6
261,2014-07-01,54,28,B,2014,7
262,2014-08-01,47,26,B,2014,8
263,2014-09-01,47,29,B,2014,9
264,2014-10-01,53,29,B,2014,10
265,2014-11-01,49,26,B,2014,11
266,2014-12-01,55,26,B,2014,12
267,2003-12-01,42,25,C,2003,12
268,2004-01-01,32,21,C,2004,1
269,2004-02-01,37,21,C,2004,2
270,2004-03-01,50,23,C,2004,3
271,2004-04-01,48,17,C,2004,4
272,2004-05-01,44,17,C,2004,5
273,2004-06-01,38,27,C,2004,6
274,2004-07-01,31,15,C,2004,7
275,2004-08-01,38,19,C,2004,8
276,2004-09-01,45,23,C,2004,9
277,2004-10-01,31,18,C,2004,10
278,2004-11-01,31,27,C,2004,11
279,2004-12-01,45,27,C,2004,12
280,2005-01-01,37,24,C,2005,1
281,2005-02-01,45,28,C,2005,2
282,2005-03-01,47,26,C,2005,3
283,2005-04-01,46,16,C,2005,4
284,2005-05-01,39,20,C,2005,5
285,2005-06-01,32,21,C,2005,6
286,2005-07-01,40,21,C,2005,7
287,2005-08-01,50,18,C,2005,8
288,2005-09-01,38,18,C,2005,9
289,2005-10-01,39,26,C,2005,10
290,2005-11-01,48,30,C,2005,11
291,2005-12-01,40,24,C,2005,12
292,2006-01-01,34,24,C,2006,1
293,2006-02-01,47,18,C,2006,2
294,2006-03-01,33,17,C,2006,3
295,2006-04-01,41,30,C,2006,4
296,2006-05-01,43,21,C,2006,5
297,2006-06-01,46,24,C,2006,6
298,2006-07-01,34,24,C,2006,7
299,2006-08-01,44,19,C,2006,8
300,2006-09-01,31,15,C,2006,9
301,2006-10-01,43,29,C,2006,10
302,2006-11-01,43,29,C,2006,11
303,2006-12-01,46,16,C,2006,12
304,2007-01-01,41,22,C,2007,1
305,2007-02-01,49,21,C,2007,2
306,2007-03-01,50,19,C,2007,3
307,2007-04-01,33,19,C,2007,4
308,2007-05-01,41,19,C,2007,5
309,2007-06-01,47,20,C,2007,6
310,2007-07-01,30,28,C,2007,7
311,2007-08-01,34,20,C,2007,8
312,2007-09-01,42,27,C,2007,9
313,2007-10-01,37,15,C,2007,10
314,2007-11-01,32,18,C,2007,11
315,2007-12-01,30,18,C,2007,12
316,2008-01-01,41,28,C,2008,1
317,2008-02-01,34,21,C,2008,2
318,2008-03-01,45,19,C,2008,3
319,2008-04-01,33,22,C,2008,4
320,2008-05-01,34,21,C,2008,5
321,2008-06-01,46,18,C,2008,6
322,2008-07-01,40,20,C,2008,7
323,2008-08-01,38,28,C,2008,8
324,2008-09-01,48,25,C,2008,9
325,2008-10-01,35,17,C,2008,10
326,2008-11-01,32,23,C,2008,11
327,2008-12-01,43,18,C,2008,12
328,2009-01-01,50,20,C,2009,1
329,2009-02-01,31,18,C,2009,2
330,2009-03-01,42,29,C,2009,3
331,2009-04-01,39,22,C,2009,4
332,2009-05-01,48,24,C,2009,5
333,2009-06-01,48,15,C,2009,6
334,2009-07-01,39,27,C,2009,7
335,2009-08-01,40,21,C,2009,8
336,2009-09-01,45,22,C,2009,9
337,2009-10-01,35,15,C,2009,10
338,2009-11-01,48,19,C,2009,11
339,2009-12-01,36,28,C,2009,12
341,2010-02-01,50,21,C,2010,2
342,2010-03-01,31,16,C,2010,3
343,2010-04-01,34,20,C,2010,4
344,2010-05-01,39,26,C,2010,5
345,2010-06-01,42,22,C,2010,6
346,2010-07-01,31,16,C,2010,7
347,2010-08-01,50,28,C,2010,8
348,2010-09-01,50,17,C,2010,9
349,2010-10-01,34,16,C,2010,10
350,2010-11-01,42,26,C,2010,11
351,2010-12-01,38,27,C,2010,12
352,2011-01-01,47,28,C,2011,1
353,2011-02-01,32,15,C,2011,2
354,2011-03-01,50,21,C,2011,3
355,2011-04-01,38,18,C,2011,4
356,2011-05-01,48,29,C,2011,5
357,2011-06-01,42,16,C,2011,6
358,2011-07-01,31,17,C,2011,7
359,2011-08-01,36,16,C,2011,8
360,2011-09-01,38,28,C,2011,9
361,2011-10-01,31,25,C,2011,10
362,2011-11-01,33,19,C,2011,11
363,2011-12-01,41,16,C,2011,12
364,2012-01-01,46,21,C,2012,1
365,2012-02-01,31,29,C,2012,2
366,2012-03-01,33,16,C,2012,3
367,2012-04-01,41,17,C,2012,4
368,2012-05-01,48,25,C,2012,5
369,2012-06-01,46,15,C,2012,6
370,2012-07-01,36,28,C,2012,7
371,2012-08-01,40,25,C,2012,8
372,2012-09-01,48,24,C,2012,9
373,2012-10-01,32,25,C,2012,10
374,2012-11-01,38,30,C,2012,11
375,2012-12-01,42,20,C,2012,12
376,2013-01-01,32,16,C,2013,1
377,2013-02-01,42,25,C,2013,2
378,2013-03-01,48,26,C,2013,3
379,2013-04-01,39,15,C,2013,4
380,2013-05-01,44,24,C,2013,5
381,2013-06-01,39,22,C,2013,6
382,2013-07-01,30,28,C,2013,7
383,2013-08-01,40,30,C,2013,8
384,2013-09-01,30,22,C,2013,9
385,2013-10-01,39,19,C,2013,10
386,2013-11-01,46,30,C,2013,11
387,2013-12-01,48,29,C,2013,12
388,2014-01-01,46,15,C,2014,1
389,2014-02-01,42,18,C,2014,2
390,2014-03-01,34,23,C,2014,3
391,2014-04-01,47,21,C,2014,4
392,2014-05-01,48,15,C,2014,5
393,2014-06-01,46,22,C,2014,6
394,2014-07-01,37,18,C,2014,7
395,2014-08-01,38,24,C,2014,8
396,2014-09-01,46,22,C,2014,9
397,2014-10-01,49,15,C,2014,10
398,2014-11-01,44,22,C,2014,11
399,2014-12-01,38,25,C,2014,12
